Record #:  1,,,
Notes :,,,
Chandrika-40,Normal,,
Spontaneous blinks ~ 5 mins,,,
Electrode placement: 1,,,
Ch1,Ch2- vertical channel,Ch3-Hrzontal (L- positive,R - negative)
LPF: order= 4,Cut-off:15 Hz,,
Only one common reference for Ch-A and Ch-B,,,
250SPS,,,
,,,
,,,
6/21/20224:17:39 PMRecord #:  1,,,
Notes :,,,
Chandrika-40,Normal,,
Spontaneous blinks ~ 5 mins,,,
Electrode placement: 1,,,
Ch1,Ch2- vertical channel,Ch3-Hrzontal (L- positive,R - negative)
LPF: order= 4,Cut-off:15 Hz,,
Only one common reference for Ch-A and Ch-B,,,
250SPS,,,
,,,
,,,
6/21/20224:17:39 PM,,,
Volts Data,,,
,,,
CH1	CH2	CH3,,,
-4.488252E-3	-13.400495E-3	-1.135446E-3,,,
-4.486710E-3	-13.404138E-3	-1.134887E-3,,,
-4.483983E-3	-13.405859E-3	-1.133300E-3,,,
-4.481167E-3	-13.401791E-3	-1.130641E-3,,,
-4.479624E-3	-13.396583E-3	-1.128785E-3,,,
-4.479200E-3	-13.397053E-3	-1.130059E-3,,,
-4.478417E-3	-13.402596E-3	-1.135625E-3,,,
-4.476249E-3	-13.405927E-3	-1.145728E-3,,,
-4.473343E-3	-13.403043E-3	-1.160972E-3,,,
-4.470974E-3	-13.398595E-3	-1.182541E-3,,,
-4.469253E-3	-13.399355E-3	-1.210570E-3,,,
-4.467130E-3	-13.404652E-3	-1.242913E-3,,,
-4.463956E-3	-13.407223E-3	-1.276128E-3,,,
-4.460536E-3	-13.403222E-3	-1.307510E-3,,,
-4.458234E-3	-13.397656E-3	-1.336120E-3,,,
-4.457027E-3	-13.397634E-3	-1.361534E-3,,,
-4.455686E-3	-13.402753E-3	-1.382455E-3,,,
-4.453473E-3	-13.405770E-3	-1.397297E-3,,,
-4.451193E-3	-13.402641E-3	-1.406036E-3,,,
-4.450008E-3	-13.398059E-3	-1.410529E-3,,,
-4.449740E-3	-13.398774E-3	-1.412809E-3,,,
-4.448980E-3	-13.404004E-3	-1.413502E-3,,,
-4.447170E-3	-13.406485E-3	-1.412362E-3,,,
-4.445381E-3	-13.402551E-3	-1.410082E-3,,,
-4.445069E-3	-13.397343E-3	-1.408428E-3,,,
-4.445985E-3	-13.398036E-3	-1.408786E-3,,,
-4.446521E-3	-13.403960E-3	-1.410663E-3,,,
-4.445627E-3	-13.407692E-3	-1.412608E-3,,,
-4.443973E-3	-13.405256E-3	-1.414172E-3,,,
-4.442789E-3	-13.401568E-3	-1.416296E-3,,,
-4.442185E-3	-13.403289E-3	-1.419805E-3,,,
-4.441269E-3	-13.409346E-3	-1.424029E-3,,,
-4.439794E-3	-13.412163E-3	-1.427539E-3,,,
-4.438899E-3	-13.408050E-3	-1.430042E-3,,,
-4.439816E-3	-13.402238E-3	-1.432523E-3,,,
-4.442118E-3	-13.401859E-3	-1.435764E-3,,,
-4.444085E-3	-13.406172E-3	-1.438893E-3,,,
-4.444554E-3	-13.407916E-3	-1.440436E-3,,,
-4.444152E-3	-13.403445E-3	-1.440056E-3,,,
-4.443929E-3	-13.397902E-3	-1.439027E-3,,,
-4.443616E-3	-13.398103E-3	-1.438424E-3,,,
-4.441962E-3	-13.403088E-3	-1.437798E-3,,,
-4.438654E-3	-13.405234E-3	-1.436077E-3,,,
-4.435055E-3	-13.400763E-3	-1.433372E-3,,,
-4.432753E-3	-13.394661E-3	-1.431093E-3,,,
-4.431725E-3	-13.393767E-3	-1.430221E-3,,,
-4.430607E-3	-13.397232E-3	-1.430154E-3,,,
-4.428729E-3	-13.398059E-3	-1.429550E-3,,,
-4.427075E-3	-13.393119E-3	-1.428366E-3,,,
-4.426964E-3	-13.387889E-3	-1.428008E-3,,,
-4.428126E-3	-13.389029E-3	-1.429483E-3,,,
-4.429087E-3	-13.395287E-3	-1.431964E-3,,,
-4.428953E-3	-13.399065E-3	-1.433708E-3,,,
-4.428528E-3	-13.396963E-3	-1.434021E-3,,,
-4.429087E-3	-13.394237E-3	-1.433708E-3,,,
-4.430629E-3	-13.397478E-3	-1.433484E-3,,,
-4.431948E-3	-13.405189E-3	-1.432657E-3,,,
-4.432485E-3	-13.409816E-3	-1.429975E-3,,,
-4.433133E-3	-13.408050E-3	-1.425348E-3,,,
-4.434943E-3	-13.405412E-3	-1.420163E-3,,,
-4.437581E-3	-13.408475E-3	-1.415715E-3,,,
-4.439458E-3	-13.415784E-3	-1.411848E-3,,,
-4.439749E-3	-13.419606E-3	-1.407735E-3,,,
-4.439391E-3	-13.416633E-3	-1.403645E-3,,,
-4.439615E-3	-13.412319E-3	-1.400895E-3,,,
-4.440308E-3	-13.413303E-3	-1.400270E-3,,,
-4.440196E-3	-13.418198E-3	-1.400895E-3,,,
-4.438855E-3	-13.419762E-3	-1.401253E-3,,,
-4.437469E-3	-13.415091E-3	-1.400962E-3,,,
-4.437380E-3	-13.409905E-3	-1.400918E-3,,,
-4.438587E-3	-13.410755E-3	-1.401588E-3,,,
-4.439771E-3	-13.416052E-3	-1.401946E-3,,,
-4.440263E-3	-13.418198E-3	-1.400672E-3,,,
-4.440777E-3	-13.414107E-3	-1.397766E-3,,,
-4.442319E-3	-13.409257E-3	-1.394793E-3,,,
-4.444353E-3	-13.410106E-3	-1.392826E-3,,,
-4.445314E-3	-13.414912E-3	-1.391351E-3,,,
-4.444353E-3	-13.416097E-3	-1.389183E-3,,,
-4.442409E-3	-13.410598E-3	-1.386210E-3,,,
-4.440844E-3	-13.404183E-3	-1.383573E-3,,,
-4.439838E-3	-13.403557E-3	-1.381963E-3,,,
-4.438497E-3	-13.407268E-3	-1.380533E-3,,,
-4.436664E-3	-13.407961E-3	-1.378074E-3,,,
-4.435457E-3	-13.402753E-3	-1.374610E-3,,,
-4.435971E-3	-13.397366E-3	-1.371525E-3,,,
-4.437670E-3	-13.398148E-3	-1.369648E-3,,,
-4.438899E-3	-13.403222E-3	-1.368195E-3,,,
-4.438788E-3	-13.405055E-3	-1.365893E-3,,,
-4.438095E-3	-13.400875E-3	-1.362696E-3,,,
-4.438005E-3	-13.396472E-3	-1.359858E-3,,,
-4.438341E-3	-13.398126E-3	-1.358338E-3,,,
-4.438162E-3	-13.403714E-3	-1.357600E-3,,,
-4.437156E-3	-13.405725E-3	-1.356594E-3,,,
-4.436374E-3	-13.401568E-3	-1.355253E-3,,,
